JLPT,,JAP-RULE,JAP-PRON,ROMAJI-RULE,DEFINITION,IMPL,EXAMPLES,,COLOR
N1,https://japanesetest4you.com/,,,tokitara,"when it comes to…; concerning…
Noun + ときたら",1,"アンソニーときたら、大ばかですよ！
うちの息子ときたら、夏休みになると部屋にこもってゲームばかりする。
あの辺ときたら、とてもたくさんの人が歩いていました。",,#ff7f50
N1,https://japanesetest4you.com/,ところがある,,tokoro ga aru,"to have; there is
Verb (casual) + ところがある
Noun + のところがある
い-adjective + ところがある
な-adjective + なところがある",1,"わたしたちには似たところがない。
その話に妙なところがあるのは疑いなかった。
彼には細心なところがあった。",,#ff7f50
N1,https://japanesetest4you.com/,ところから,,tokoro kara,"because; from the fact that
Phrase + ところから",1,"みな高橋留美子の愛読者だったところから、彼らは自分たちの集まりを犬夜叉・クラブと呼ぶことにした。
金原先生はいつも赤い帽子をかぶっていたところから、「赤い帽子先生」と呼ばれていた。
このなかで少なくとも十二、三人は、ものすごい顔つきや、安全灯を持っているところから、坑夫だとわかる。",,#ff7f50
N1,https://jlptsensei.com/,ところを,,tokoro o,"although/despite a certain time/situation
Noun + の + ところを
Verb (casual form) + ところを
い-adjective + ところを
な-adjective + な + ところを",1,"お忙しいところをお集りいただき、ありがとうございます。
いつもは電車で会社に行くところを、今日は車で行った。
交通事故で命が危ないところを、その医者に助けてもらいました。",,#ff7f50
N1,https://jlptsensei.com/,ともあろう,,tomo arou,"of all people (expression showing surprise at a high standing person's misbehavior)
N1 + ともあろう + N2",1,"親ともあろう者、子どもが悪いことをしたときに、きちんと叱るべきだ。
大学生ともあろう者が、パソコンを使えないのは恥ずかしい。
一国の大統領ともあろう者が、このような発言をしてはいけない。",,#ff7f50
N1,https://japanesetest4you.com/,となると/となれば,,tomo naru to/tomo nareba,"if; when it comes to…; where … is concerned; if it’s the case that…
Verb (dictionary form) + と(も)なると/と(も)なれば
Noun + と (も)なると/と (も) なれば",1,"社会人ともなると、服装や言葉遣いにも気をつけなければならない。
書くのが難しい演説ともなれば、それを伝えることはもっと難しい。
休日ともなると、朝から観光客の車で道路が渋滞する。",,#ff7f50
N1,https://jlptsensei.com/,とも～とも,,tomo~tomo,"unable to draw a conclusion; unable to judge
[A]とも + [B]とも
[A] / [B] can be a N, V, or adj",1,"彼女は質問に対する肯定とも否定ともとれる返事が上手い。
最近のゲームは、子供にいいとも悪いとも言えません。
これは本物とも偽物とも判断が出来ません。",,#ff7f50
N1,https://jlptsensei.com/,ともなく,,tomonaku,"uncertainty; lack of intent
Verb (dictionary form) + ともなく/ともなしに",1,"何を買うともなく、デパートの中をブラブラしていたら、友人に会った。
休みの日にはどこへ行くともなしにドライブすることが多い。
チラシを見るともなく見ていたら、友達が映っていた。",,#ff7f50
N1,https://japanesetest4you.com/,とりわけ,,toriwake,"especially
とりわけ + sentence",1,"スターリンは自分のカードを決して見せなかった。とりわけ世界最強の資本主義国家の大統領が相手の場合には。
とりわけ、経営者と連携して労働スケジュールの柔軟性を高める必要がある。
改正の目的は、不公平な解雇に関する条項がとりわけ中小企業に強いていた重い負担を軽くすることだった。",,#ff7f50
N1,https://japanesetest4you.com/,として～ない,,toshite~nai,"not even one
として + Verb (ないform)",1,"このあいだ一日として家をあけたことなんかありません。
わたしの計画は一つとして狂わなかった。
僕とサミー以外は誰一人として知らない。",,#ff7f50
N1,https://japanesetest4you.com/,とて,,tote,"even
Noun + とて",1,"違反すれば、未成年者とて許すわけにはいかない。
病気とて、無断休むのはけしからん。
新聞記事とて、決していつも正確とは言えません。",,#ff7f50
N1,https://jlptsensei.com/,とは,,towa,"indicates word or phrase being defined with emphasis/surprise
Verb (casual form) + とは
Noun (だ/だった) + とは
な-adjective (だ/だった) + とは
い-adjective + とは",1,"サンフランシスコは家賃が高いと聞いていたが、こんなに高いとは驚きだ。
妹の結婚式に出られないとは、残念な限りだ。
才能のある彼女が急に亡くなるとは、とても残念です。",,#ff7f50
N1,https://japanesetest4you.com/,とはいうものの,,towa iu mono no,"having said that; be that as it may
Sentence 1 + とはいうものの + sentence 2",1,"大学時代はフランス文学専攻だった。とはいうものの、フランス語はほとんどしゃべれない。
組織にはそんな弱い男は一人だっていやしない。みんな筋金いりばかりだ。とはいうものの、ピーターのようなやつもいるからな。
あんたには独自の行き届いた手段がおありのことと思いました。とはいうものの力を貸さぬと申すのではないがな。",,#ff7f50
N1,https://jlptsensei.com/,とはいえ,,towaie,"although; nonetheless; be that as it may
Verb (casual forml) + とはいえ
Noun + とはいえ
な-adjective + とはいえ
い-adjective + とはいえ",1,"知らなかったこととはいえ失礼なことをしてしまい、大変申し訳ありませんでした。
教師とはいえ、答えられないこともある。
入社したばかりとはいえ、もう少しまともな挨拶が出来ないのだろうか。",,#ff7f50
N1,https://jlptsensei.com/,つ～つ,,tsu~tsu,"two contrasting actions
Verb1#ます#つ + Verb2#ます#つ",1,"その映画は、警官と犯人が追いつ追われつの展開でハラハラするものだったよ。
今日のサイクリングレースでは、二人の選手が最後まで抜きつ抜かれつ一番争いをしていた。
あのストーカーはカメラを持って、人気のアイドルの家の前を行きつ戻りつした。",,#ff7f50
N1,https://japanesetest4you.com/,ってば,,tteba,"I said; I told you to
You use ってば/ったら to express your annoyance with someone.

Phrase + ってば/ったら
Noun/な-adjective + だってば",1,"はやく持ってきなさいってば。ねえ、聞こえないの？
ニヤニヤするのはやめろってば！
ほんとだってば。彼を見たんだ！",,#ff7f50
N1,https://jlptsensei.com/,うと～うと/うが～うが,,uto~uto/uga~uga,"whether/even if [A] or [B].
Verb (よう form) + が/と + repeat
Noun / な-adjective + だろう + が/と + repeat
Noun / な-adjective + であろう + が/と + repeat
い-adjective + #い#かろう + が/と + repeat",,,,#00fa9a
N1,https://japanesetest4you.com/,はおろか,,wa oro ka,"let alone; not to mention; needless to say
Noun + はおろか",1,"腰を痛めてしまい、歩くことはおろか立つことも難しい。
幼稚園のころの友達の名前はおろか、顔さえ忘れてしまった。
弟は内気で、人前でスピーチはおろか簡単なあいさつさえできない。",,#ee82ee
N1,https://japanesetest4you.com/,はさておき,,wa sateoki,"setting aside
Noun + はさておき",1,"数字はさておき、あなたから見てこのメッセージの一番奇妙な点はどこですか？
実現できるかどうかはさておき、まずは新商品のアイデアをみんなで出してみよう。
ミランダ・カーは、他の事はさておき、とにかく美人だ。",,#ee82ee
N1,https://jlptsensei.com/,や否や,やいなや,ya ina ya,"as soon as; the moment~
Verb (dictionary form) + や/や否や",1,"社長は部屋に入るや否や、静かになりました。
彼は電車を降りるや否や走り出したがどうやら乗り換えの電車に間に合わなかったようだ。
あの子どもは、それを口に入れるや、吐き出した。",,grey
N1,https://japanesetest4you.com/,やしない,,yashinai,"not (emphatic negative)
Verb #ます# (stem form) + やしない",1,"わたしは一度も自分の部屋を出やしない。
何かやってみようとする人は一人もいやしない。
僕は誰とだって、金のために結婚するような事はしやしない。",,grey
N1,https://japanesetest4you.com/,ようによっては,,you ni yotte wa,"depending on
Verb #ます# (stem form) + ようによっては",1,"まだ見習いでバイト扱いだが、働きようによっては正社員にしてやってもいい。
この古新聞も、使いようによっては、何かの役に立つのではないかと思いますが。
考えようによっては彼の人生も幸せだったと言えるかもしれない。",,grey
N1,https://jlptsensei.com/,(よ)うと～まいと・(よ)うが～まいが,,you to~mai to/you ga~mai ga,"whether or not; regardless
V(volational) +と + V(dict.) + まいと
V(volational) +が + V(dict.) + まいが

Special Rules
(ru-V) Vるまい / V#ます#まい
(u-V) Vるまい
くる => こまい / くるまい",,,,grey
N1,https://japanesetest4you.com/,ざる,,zaru,"not; un-
Verb (ない form) #ない#  + ざる
Exception: する => せざる",1,"招かれざる見学者が誰なのかを察した。
彼はここから脱出することになる。本人が望むと望まざるとにかかわらず。
知られざる異常者が、この屋敷のどこかに潜んでいるにちがいない！",,#add8e6
N1,https://japanesetest4you.com/,ずじまい,,zu jimai,"never; did not (have the chance to)
Verb (ない form) #ない# + ずじまい",1,"彼のボスが何とおっしゃったやら、正確には聞けずじまいだった。
父に聞かずじまいになってしまったことが、あまりにも多い。
アイデアはよかったが、実現せずじまいだった。",,#add8e6
N1,https://japanesetest4you.com/,ずとも,,zu tomo,"even without doing
Verb (ない form) #ない# + ずとも",1,"言われずとも最後はそうしてやろう。
彼は目が見えずともすばらしい演奏をしました。
彼があなたのことを愛するということは、言わずとも分かる。",,#add8e6
N1,https://jlptsensei.com/,ずくめ,,zukume,"completely; entirely; nothing but
Noun + ずくめ",1,"黒ずくめの服装をするのが好きだ。
旅行をしている間ずっと、ごちそうずくめで、少し太ってしまった。
規則ずくめのこのバイトを辞めたい。",,#add8e6
N2,https://jlptsensei.com/,あげく,,ageku,"to end up; in the end; finally; after all~
Verb (た form) + あげく (に)
Noun + の + あげく (に)",1,"2時間も待たされたあげく、結局に試合は延期になった。
毎日の残業のあげく、彼女は倒れて入院することになりました。
人気のラーメン店に２時間も並んだあげく、売り切れで食べられなかった。",adverbien sind alles nomen,#800000
N2,https://jlptsensei.com/,あるいは,,aruiwa,"or; either; maybe; perhaps; possibly~
あるいは + other option",1,"今日中にファックス、あるいは、メールで送ってください。
来週の火曜日の午後はどうですか。あるいは水曜日の午前でも構いませんが．．．
進学するか、あるいは就職するか私は迷っています。",,#800000
N2,https://jlptsensei.com/,ばかりだ,,bakari da,"continue to (go in negative direction)
Verb (dictionary) + ばかりだ/ばかりです",1,"あの二人の関係は悪くなるばかりだ。
日本の人口が減るばかりです。
この傷が深くなるばかりだ。",,#808000
N2,https://jlptsensei.com/,ばかりか,,bakari ka,"not only.. but also; as well as~
Verb (casual) + ばかりか
Noun + ばかりか
な-adjective + な + ばかりか
い-adjective + い + ばかりか",1,"このマンションは狭いばかりか、暗いです。
私は、漢字ばかりか、ひらがなもカタカナも書けません。
このレストランは、味が悪いばかりか、店員の態度も悪い。",,#808000
N2,https://jlptsensei.com/,ばかりに,,bakari ni,"simply because; on account of~ (negative result)
Verb (casual) + ばかりに
Noun (+ である) + ばかりに
な-adjective + な/である + ばかりに
い-adjective + ばかりに",1,"お金がないばかりに、今度の旅行に行けなかった。
外国人であるばかりに、アパート探しには苦労した。
顔が似ていたばかりに犯人と間違われた。",,#808000
N2,https://jlptsensei.com/,ちなみに,,chinamini,"by the way; in this connection; incidentally; (conjunction)
ちなみに + phrase",1,"これ、お土産だよ。ちなみにベトナムで買ったんだよ。
ちなみに、私のことを覚えていますか？
ちなみに、私は刺身と寿司は好きではない。",,#483d8b
N2,https://jlptsensei.com/,ちっとも～ない,,chitto mo~nai,"(not) at all; (not) in the least~
ちっとも + Verb (ない form)",1,"彼は酒はちっとも飲まない。
この商品はちっとも売れない。
俺の妻は英語をちっとも知らない。彼女は日本語しか話せない。",,#483d8b
N2,https://jlptsensei.com/,だけあって,,dake atte,"being the case; precisely because; as expected from~
Verb (casual) + だけあって/だけのことはあって
Noun + だけあって/だけのことはあって
な-adjective + な + だけあって/だけのことはあって
い-adjective + だけあって/だけのことはあって",1,"このアパートは駅に近いだけあって、やっぱり家賃も高い。
さすが大都会だけあって何かしら仕事がある。
料理教室に通っているだけあって、彼女の作る料理はとても美味しい。",,#008000
N2,https://jlptsensei.com/,だけましだ,,dake mashi da,"it’s better than; one should feel grateful for~
Verb (casual) + だけましだ
Noun + である + だけましだ
な-adjective + な + だけましだ
い-adjective + だけましだ",1,"今日は暑いが、湿度が高くないだけましだ。
君は仕事があるだけましだよ。俺は首になってしまった。
僕のアパートは、狭くて高いけれど、便利なだけましだ。",,#008000
N2,https://jlptsensei.com/,だけに,,dake ni,"being the case; precisely because; as one would expect
Verb (casual) + だけに
Noun + だけに
な-adjective + な + だけに
い-adjective + だけに",1,"駅が近いだけに家賃も高い。
このホテルは５つ星ホテルなだけに、サービスが充実している。
彼女は日本語を20年教えているだけに、教え方がとても上手だ。",,#008000
N2,https://jlptsensei.com/,だけのことはある,,dake no koto wa aru,"no wonder; as expected of; not ... for nothing; not ... with nothing to show for it
Verb (casual) + だけ (のことは) ある
Noun + だけ (のことは) ある
な-adjective + な + だけ (のことは) ある
い-adjective + だけ (のことは) ある",1,"山田さんは英語が上手だ。アメリカに留学していただけのことはある。
このホテルはサービスが素晴らしい。5つ星ホテルだけのことはある。
料理教室に通っているだけのことはある、彼女の手作り料理はとても美味しい。",,#008000
N2,https://jlptsensei.com/,だけは,,dake wa,"to do all that one can
Verb (dictionary form) + だけは + Same verb (past form)",1,"走れるだけは速く走った。
私はあなたを手伝えるだけは手伝ったよ。
彼氏のことは親に話すだけは話しました。",,#008000
N2,https://jlptsensei.com/,だって,,datte,"even; too
Noun + だって",1,"彼だって人間だ。
私だってあなたに会いたい。
誰だってそんなことは知っているさ。",,#008000
N2,https://jlptsensei.com/,でしかない,,de shikanai,"merely; nothing but; no more than; there is only~
Noun + でしかない",1,"これらの考えは推測でしかない。
この作業は時間の無駄でしかない。
もし薬で治らなかったら、手術でしかない。",,#008000
N2,https://jlptsensei.com/,どころではない,,dokoro dewa nai,"not the time for; not the place for; far from; anything but~
Verb (casual) + どころではない/どころじゃない
Noun + どころではない/どころじゃない",1,"彼はよく間違いをするが、バカどころではない。
宿題がたくさんあってテレビを見るどころではない。
風邪がひどくて、遊びに行くどころじゃない。",,#008000
N2,https://jlptsensei.com/,どころか,,dokoro ka,"far from; anything but; let alone; not to mention; much less~
Verb (casual, non-past) + どころか
Noun + どころか
な-adjective + (な) + どころか
い-adjective + どころか",1,"もっと勉強しないと、N2どころかN3も無理だ。
そんな食べ物、健康になるどころか、病気になっちゃうよ。
私は彼に役に立つどころか、迷惑もかけた。",,#008000
N2,https://jlptsensei.com/,得ない,えない,enai,"unable to; cannot; it is not possible to~
Verb #ます# (stem form) + 得ない",1,"あの人が結婚したって本当！？え～！あり得ないよ！
あの真面目な彼が犯人？そんなことはあり得ない。
今回は予測し得ないことが起きたけど、皆さんは落ち着いてください。",,#008b8b
N2,https://jlptsensei.com/,得る,える / うる,eru/uru,"can; to be able to; is possible to~
Verb #ます# (stem form) + 得る (える/うる)",1,"この不況では大手企業の倒産もあり得る。
タバコを吸いすぎや、お酒を飲み過ぎは病気の原因になり得ます。
事故はいつでも起こり得るので、気をつけてください。",,#008b8b
N2,https://jlptsensei.com/,ふうに,,fuu ni,"this way; that way; in such a way; how
どんな + ふうに + Verb
あんな + ふうに + Verb
こんな + ふうに + Verb
どういう + ふうに + Verb
Verb (casual) + ふうに + Verb",1,"こんなふうにやりなさい。
私もあんなふうになりたいです。
あなたの説明はこういうふうに理解してもよろしいでしょうか。",,#4682b4
N2,https://jlptsensei.com/,がきっかけで /をきっかけに,,ga kikkake de/o kikkake ni,"with… as a start; as a result of; taking advantage of~
Verb (た form) + の/こと + がきっかけで/をきっかけに
Noun + がきっかけで/をきっかけに",0,,,#000080
N2,https://jlptsensei.com/,げ,,ge,"looks like; seems like; appears to~
な-adjective + げ
い-adjective + #い# + げ
Irregular: いい/よい => よさ + げ
Verb #ます# (stem form) + げ
Verb た#い# (tai form) + げ
Noun (very limited) + げ",1,"何か、言いたげだね。
あの人は寂しげな目をしている。
ずいぶん、自信ありげだね。",,#000080
N2,https://jlptsensei.com/,反面,はんめん,hanmen,"while, although; on the other hand~
Verb (casual, non-past) + 反面
Noun + である + 反面
な-adjective + な/である + 反面
い-adjective + 反面
Phrase 1 + その反面 + Phrase 2",1,"この部屋は日当たりがいい反面、夏はかなり暑いです。
子供の成長は嬉しい反面、どこか寂しい。
子供にとって、インターネットは便利な反面、悪い影響を与えることもあります。",,#9acd32
N2,https://jlptsensei.com/,以外（いがい）,,igai,"with the exception of; excepting~
Noun + 以外 + (の、は、に)",1,"食事以外には何ができる？
彼女以外誰もいない。
水以外何も見えない。",,#8fbc8f
N2,https://jlptsensei.com/,以上に（いじょうに）,,ijou ni,"more than; not less than; beyond~
Verb (casual) + 以上に
Noun + 以上に
な-adjective + 以上に
以上の + Noun",1,"今まで以上に仕事を頑張ります。
必要以上にたくさんのお金を使わないでください。
私が予想していた以上に彼の様態はよくなかった。",,#8fbc8f
N2,https://jlptsensei.com/,以上は,いじょうは,ijou wa,"because; since; seeing that~
Verb (casual) + 以上 (は)
Noun + である + 以上 (は)
な-adjective + である + 以上 (は)",1,"約束した以上、きちんと守ってくださいね。
学生である以上、アルバイトではなく勉強が大事ですよ。
給料がこんなに安い以上は、転職を考える人がいるのも当然だ。",,#8fbc8f
N2,https://jlptsensei.com/,一方で,いっぽうで,ippou de,"on one hand, on the other hand; although~
Verb (casual) + 一方 (で)
Noun + である + 一方 (で)
な-adjective + である + 一方 (で)
い-adjective + 一方 (で)",1,"お母さんは優しい一方で、お父さんはこわい。
彼は俳優である一方で、歌手としても活躍している。
彼女の仕事は夏は非常に忙しい一方、冬は暇になる。",,#8fbc8f
N2,https://jlptsensei.com/,いわゆる,,iwayuru,"what is called; as it is called; the so-called; so to speak
いわゆる + Noun",1,"彼はいわゆる語学の天才だ。
彼女はいわゆる「やり手」だ。
兄はいわゆるポップミュージックに興味があります。",,#8fbc8f
N2,https://jlptsensei.com/,上,じょう,jou,"for the sake of; from the standpoint of; as a matter of; in terms of~
Noun + 上",1,"健康上ではポテトフライや揚げ物などは食べない方がいいと思います。
日本の法律上はお酒を飲んで車を運転するのは禁止です。
理論上はこれが可能だが、実用化には時間がかかりそうだ。",,#8b008b
N2,https://jlptsensei.com/,かのように,,ka no you ni,"as if; just like~
Noun + であるかのように
な-adjective + であるかのように
Verb (casual) + かのように + Verb
Verb (casual) + かのような + Noun
Verb (casual) + かのようだ",1,"怖いものを見たかのように、彼女は震えた。
友達は自分が合格したかのように喜んでくれた。
彼は今日初めて会うのに、前に何度も会ったことがあるかのような態度で話してくる。",,#b03060
N2,https://jlptsensei.com/,かと思ったら,かとおもったら,ka to omottara,"just when; no sooner than~
Verb (た form) + かと思ったら
Verb (た form) + かと思うと
Verb (た form) + かと思えば",1,"空が急に暗くなってきたかと思うと、雨が降ってきた。
うちの近くの公園の花が咲いたかと思ったら、もう散ってしまった。
この時期は、晴れていたかと思うと、急に雨が降り出すことが多いから、傘をもっていったほうがいい。",,#b03060
N2,https://jlptsensei.com/,か～ないかのうちに,,ka~nai ka no uchi ni,"just as; right after; as soon as~
Verb + か (dictionary form) + Verb ない + か + のうちに",0,,,#b03060
N2,https://jlptsensei.com/,限り（かぎり）,,kagiri,"as long as; while… is the case; as far as; while~
Verb (casual, non-past) + 限り
Noun + である + 限り",1,"明日は、雨が降らない限り、10時に学校で会いましょう。
この仕事は、私が生きている限り、ずっと続けていきたい。
私の知っている限りでは、彼女はまだ結婚していません。",,#b03060
N2,https://jlptsensei.com/,甲斐がある,かいがある,kai ga aru,"it’s worth one’s efforts to do something
Verb (casual, past) + 甲斐がある/かいがある/がいがある
Verb #ます# (stem form)	+ 甲斐がある/かいがある/がいがある
Noun + の + 甲斐がある/かいがある/がいがある",1,"努力の甲斐があって、希望の大学に合格した。
美味しいと言ってたくさん食べてくれると、頑張って作った甲斐があります。
毎日ダイエットを頑張った甲斐があって、５キロ痩せることができました。",,#b03060
N2,https://jlptsensei.com/,かねない,,kanenai,"(someone) might do something; something might happen
Verb #ます# (stem form) + かねない",1,"この問題が長期化すれば、会社は倒産しかねない。早く対策を考えましょう。
休まずに長時間運転したら、事故を起こしかねない。
毎日ファストフードばっかり食べてると、病気になりかねないよ。",,#b03060
N2,https://jlptsensei.com/,かねる,,kaneru,"unable to do something; can’t do something
Verb #ます# (stem form) + かねる/かねます",1,"すぐにお返事はできかねます。
私はそれに賛同しかねます。
飛行機で行くか、新幹線で行くか、まだ決めかねている。",,#b03060
N2,https://jlptsensei.com/,から言うと,からいうと,kara iu to,"in terms of; from the point of view of~
Noun + から言うと/から言えば/から言って",1,"僕の成績から言えば、国立大学は無理だと思う。
能力から言って、彼がこの仕事に一番適切だと思います。
僕の経験から言うと、留学をする前に基本的な文法や単語は復習しておいた方がいい。",,#b03060
N2,https://jlptsensei.com/,からこそ,,kara koso,"precisely because~
Verb (casual) + からこそ
Noun + だ + からこそ
だからこそ + phrase",1,"早く起きたからこそ私は始発電車に間に合った。
毎日一生懸命に練習したからこそ、優勝できたのです。
子どもの将来を考えたからこそ一流の大学に入れたいのです。",,#b03060
N2,https://jlptsensei.com/,から見ると,からみると,kara miru to,"from the point of view of; by the look of; judging from~
Noun + から見ると/から見れば/から見て",1,"虫嫌いな私から見ると、ゴキブリを手でつかむなんてありえない。
緊張している様子から見て、彼らは新入社員だろう。
専門家から見れば、間違ったダイエットをしている人が多いようだ。",,#b03060
N2,https://jlptsensei.com/,からには,,kara niwa,"now that; since; so long as; because~
Verb (dictionary form) + からには
Verb (casual, past) + からには",1,"約束したからにはその約束を守らなければならない。
私はJLPT N2 試験を受けるからには、合格したいです。
自分で決めたからには、大変でも頑張ります。",,#b03060
N2,https://jlptsensei.com/,からして,,kara shite,"judging from; based on; since; from; even~
Noun + からして",1,"タイトルからして、面白そうな本ですね。
その新社員は顔つきからして優しそうだ。
この子は笑い方からして母親にそっくりだ。",,#b03060
N2,https://jlptsensei.com/,からすると / からすれば,,kara suru to/kara sureba,"judging from; considering; by the look of~
Noun + からすると/からすれば",1,"彼の症状からすると、心臓の病気かもしれません。
親からすると、子供はいくつになっても子供で心配なものだ。
周りの態度からすると、あの人が有名人ではないでしょうか。",,#b03060
N2,https://jlptsensei.com/,からと言って,からといって,kara to itte,"just because; even if; even though~
Verb (casual) + からといって
Noun + だ + からといって
な-adjective + だ + からといって
い-adjective + からといって",1,"お金がたくさんあるからといって使いすぎるのはよくない。
安いからといって、要らないものまで買うのはよくない。
野菜が嫌いだからと言って、食べないのはよくないよ。","
",#b03060
N2,https://jlptsensei.com/,っこない,,kkonai,"no chance of; …is definitely not possible
Verb #ます# (stem form) + っこない
Verb (potential stem form) + っこない",1,"車なんて買えっこないよ、自転車を買うお金もないんだから。
3歳の子供にそんな難しいことを言っても分かりっこないよ。
もう新宿駅には100回以上行ったんだから、迷いっこないよ。",,#b03060
N2,https://jlptsensei.com/,ことだ,,koto da,"should do~ (used for suggestions or giving advice)
Verb (dictionary form) + ことだ
Verb (ない form) + ことだ",1,"風邪ぎみなら、早く寝ることですよ。
無理をしないことだよ。
N2に合格したかったら、とにかく漢字を覚えることだよ。",,#b03060
N2,https://jlptsensei.com/,ことだから,,koto dakara,"because; since~
Noun + の + ことだから

Verb + ことだから/ことだし
Noun + である + ことだから/ことだし
な-adjective + な/である + ことだから/ことだし
い-adjective + ことだから/ことだし",1,"よくできる彼女のことだから、合格は間違いないだろう。
全員そろったことだから、時間前だけれど始めましょうか。
それは、私にとって重要なことだから答えて。",,#b03060
N2,https://jlptsensei.com/,ことか,,koto ka,"how…!; what…!
Verb (casual) + ことか
Noun + である + ことか
な-adjective + な + ことか
い-adjective + ことか",0,,,#b03060
N2,https://jlptsensei.com/,ことなく,,koto naku,"without doing something even once
Verb (dictionary form)	+ ことなく",1,"お父さんは10年間休むことなく会社に通った。
彼らは試合に勝つために、1日も休むことなく練習に励んだ。
彼は緊張することなく、最後まで落ち着いて発表した。",,#b03060
N2,https://jlptsensei.com/,ことに,,koto ni,"emphasize speaker's feelings; to my (surprise/etc)
Verb (た form) + ことに
な-adjective + な + ことに
い-adjective + ことに",1,"嬉しいことに、明日退院できるんです。
残念なことに、努力して頑張りましたが、失敗しました。
幸いなことに、やっと自分の好きな人と結婚できました。",,#b03060
N2,https://jlptsensei.com/,ことにはならない,,koto niwa naranai,"just because… doesn’t mean~
Verb (casual, past) + (という) + ことにはならない
な-adjective + だという + ことにはならない
い-adjective + という + ことにはならない",0,,,#b03060
N2,https://jlptsensei.com/,くせして,,kuse shite,"although~; despite the fact that~; even though~
Verb (dictionary form) + くせして
Noun + の + くせして
な-adjective + な + くせして
い-adjective + くせして",1,"大学生のくせして、そんなことも知らないの。
彼女はおかしいだね。好きなくせして、嫌いだと言っている。
何も知らないくせして、知っているようなことを言う。",,#b03060
N2,https://jlptsensei.com/,まだしも,,madashimo,"rather; better~
Noun + なら + まだしも
Noun + は + まだしも",1,"一度だけならまだしも、二度も失敗してしまった。
あの人、wordやexcelが使えないのはまだしも、メールもできないらしいよ。
僕の英語力では、旅行はまだしも、留学なんて無理です。",,#ffa500
N2,https://jlptsensei.com/,まい,,mai,"will not; will probably not; intend not to; must not~
U-verb (dictionary form) + まい
Ru-verb #ます# (stem form) + まい
Exception: する => すまい
Exception: くる => こまい",1,"あんなところは二度と行くまい。
彼はそう簡単に態度を変えるまい。
信用していた親友が僕の秘密をもらした。絶対に許すまい。",,#ffa500
N2,https://jlptsensei.com/,ままに,,mama ni,"as, to do as~
Verb (dictionary form) + (が) + まま (に)
Verb (られる form) + (が) + まま (に)
Noun + の + まま (に)",1,"今のままにしておこう。
思うままにどうぞ意見を言ってください。
上司に命令されるままに行動していただけだ。",,#ffa500
N2,https://jlptsensei.com/,全く～ない,まったく～ない,mattaku~nai,"not at all~
まったく + Verb (ない form)",1,"全く漢字が書けない。
今日は全く風がない。
私は彼の言うことがまったく理解できない。",,#ffa500
N2,https://jlptsensei.com/,もかまわず,,mo kamawazu,"without caring; without worrying about~
Verb (casual) + (の) + も構わず/もかまわず
Noun + も構わず/もかまわず",1,"彼女は服が汚れるのもかまわず、公園で犬と遊んでいる。
あの男は人目もかまわず、電車の中で弁当を食べている。
あの二人は、みんなが見ているのもかまわず、キスをした。",,#ffa500
N2,https://jlptsensei.com/,も当然だ,もとうぜんだ,mo touzen da,"it’s only natural; no wonder; might as well~
Verb (casual) + の + も当然だ
Verb (て form) + も当然だ",1,"彼女は美人で優しい人だから、みんなが好きになるのも当然だ。
彼はあんなひどいことを言ったから、彼女が怒るのも当然だ。
彼が試験に落ちても当然だ。ちっとも勉強しないんだから。",,#ffa500
N2,https://jlptsensei.com/,ものだ,,mono da,"describe feeling; express memories; state fact
Verb (dictionary form) + ものだ/もんだ/ものじゃない
Verb (ない form) + ものだ/もんだ/ものじゃない
な-adjective + ものだ/もんだ/ものじゃない
い-adjective + ものだ/もんだ/ものじゃない",1,"人は誰でも間違いをするものだ。
子供は早く寝るもんだよ。
人の悪口は言うものじゃない。",,#ffa500
N2,https://jlptsensei.com/,ものだから,,mono dakara,"so; therefore; the reason for something
Verb (casual) + ものだから/ものですから/もんだから (spoken)
Noun + な + ものだから/ものですから/もんだから (spoken)
な-Adjective + な + ものだから/ものですから/もんだから (spoken)
い-Adjective + ものだから/ものですから/もんだから (spoken)",1,"目覚まし時計が壊れたものだから、遅刻してしまった。
すみません、風邪を引いてしまったものですから、今日は欠席です。
すみません。お酒は苦手なものですから。",,#ffa500
N2,https://jlptsensei.com/,ものではない,,mono dewa nai,"shouldn’t do something; it’s impossible to~
Verb (casual, past) + ものではない",1,"何が起こるかわかったものではない。
目上の人にそんな言い方をするものではない。
口の中に物を入れたまましゃべるものではない。",,#ffa500
N2,https://jlptsensei.com/,ものがある,,mono ga aru,"there is such a thing; to be the case that; feels like~
Verb (dictionary form)	+ ものがある
な-adjective	+ ものがある
い-adjective	+ ものがある",1,"彼の話にはどこか納得できないものがある。
社長の言葉には、こころに響くものがある。この会社を成長させるために、もっと頑張りたい。
確かに、一人で受付と司会をやるのは厳しいものがある。",,#ffa500
N2,https://jlptsensei.com/,ものか / もんか,,mono ka,"as if (something untrue were actually true); there's no way~
Verb (dictionary form)	+ ものか/もんか/ものですか/もんですか
Noun + な + ものか/もんか/ものですか/もんですか
な-adjective + な	+ ものか/もんか/ものですか/もんですか
い-adjective	+ ものか/もんか/ものですか/もんですか",1,"あんな所へ誰が行くものか。
人の心の秘密がどうしてわかるもんか。
夏休みの遊園地は人が多いし、アトラクションには１時間待たなければならないこともあるし、絶対に行くものか。",,#ffa500
